model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"2872","audi","A3","1.6 Attraction","2008","Hatchback","Front","1593","4","in-line","2","102","5600","148","3800","81.0","77.4","10.5:1","Gasoline - Premium","185","11.9","Front","Manual","5","3","1280","4220","1770","1430","2580","","7.0","","55","1","","Audi","Audi","Germany"
"53532","audi","A3","1.6 Attraction Automatic","2008","Hatchback","Front","1593","4","in-line","2","102","5600","148","3800","81.0","77.4","10.5:1","Gasoline - Premium","185","11.9","Front","Automatic","5","3","1280","4220","1770","1430","2580","","7.0","","55","1","","Audi","Audi","Germany"
"2345","audi","A3","1.6 FSi Attraction","2008","Hatchback","Front","1597","4","in-line","4","115","6000","155","4000","76.5","86.9","12.0:1","Gasoline - Premium","196","10.9","Front","Manual","5","3","1300","4220","1770","1430","2580","","6.5","","55","1","","Audi","Audi","Germany"
"2043","audi","A3","1.6 FSi Sportback Attraction","2008","Hatchback","Front","1598","4","in-line","4","115","6000","155","4000","76.6","86.9","12.0:1","Gasoline - Premium","","11.1","Front","Manual","5","5","1340","4290","1770","1430","2580","","6.6","","55","1","","Audi","Audi","Germany"
"2870","audi","A3","1.6 Sportback Attraction","2008","Hatchback","Front","1595","4","in-line","2","102","5600","148","3800","81.1","77.4","10.3:1","Gasoline - Premium","","12.2","Front","Manual","5","5","1265","4290","1770","1430","2580","","7.1","","55","1","","Audi","Audi","Germany"
"53533","audi","A3","1.6 Sportback Attraction Automatic","2008","Hatchback","Front","1595","4","in-line","2","102","5600","148","3800","81.1","77.4","10.3:1","Gasoline - Premium","","12.2","Front","Automatic","5","5","1265","4290","1770","1430","2580","","7.1","","55","1","","Audi","Audi","Germany"
"3035","audi","A3","1.8","2008","Hatchback","Front","1781","4","in-line","5","","","170","4200","81.0","86.4","10.3:1","Gasoline","202","9.7","Front","Manual","5","3","1164","4180","","1370","2520","","7.8","","55","1","","Audi","Audi","Germany"
"2767","audi","A3","1.8 Automatic","2008","Hatchback","Front","1781","4","in-line","5","","","170","4200","","","10.3:1","Gasoline","197","9.7","Front","Automatic","5","3","1160","4180","","1370","2520","","7.8","","55","1","","Audi","Audi","Germany"
"2867","audi","A3","1.8 T","2008","Hatchback","Front","1781","4","in-line","5","","","210","1750","81.0","86.4","9.5:1","Gasoline","217","8.5","Front","Manual","5","3","1175","4180","","1370","2520","","7.8","","55","1","","Audi","Audi","Germany"
"3244","audi","A3","1.8 T Tiptronic","2008","Hatchback","Front","1781","4","in-line","5","","","210","1750","81.1","86.4","9.5:1","Gasoline","","8.2","Front","Automatic","5","3","1175","4580","","1400","2520","","7.8","","55","1","","Audi","Audi","Germany"
"2547","audi","A3","1.9 TDi Attraction","2008","Hatchback","Front","1895","4","in-line","2","105","4000","250","1900","79.5","95.5","19.0:1","Diesel","187","11.4","Front","Manual","5","3","1360","4220","1770","1430","2580","","5.1","","55","1","","Audi","Audi","Germany"
"3321","audi","A3","1.9 TDi Sportback Attraction","2008","Hatchback","Front","1896","4","in-line","2","105","4000","250","1900","79.5","95.5","19.0:1","Diesel","187","11.7","Front","Manual","5","5","1410","4290","1770","1430","2580","","5.1","","55","1","","Audi","Audi","Germany"
"2382","audi","A3","2","2008","Hatchback","Front","1999","4","in-line","4","203","5100","281","1800","82.5","92.8","10.3:1","Gasoline","209","7.1","Front","Manual","5","4","1545","4290","1770","1430","2580","","8.9","","60","1","","Audi","Audi","Germany"
