model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"12132","ferrari","360","Modena","2008","Coupe","Middle","3586","","","5","","","373","4750","85.1","79.0","11.0:1","Gasoline - Premium","","4.5","Rear","Manual","2","2","1475","370","","370","2610","","17.9","","95","1","","Ferrari","Ferrari","Italy"
"12063","ferrari","360","Modena Spyder","2008","Convertible","Middle","3586","","","5","","","373","4750","","","11.0:1","Gasoline - Premium","291","4.5","Rear","Manual","2","2","1475","370","","370","2610","","17.9","","95","1","","Ferrari","Ferrari","Italy"
"12046","ferrari","360","Spider","2008","Convertible","Middle","3586","","","5","","","373","4750","85.0","79.0","11.0:1","Gasoline - Premium","293","4.9","Rear","Manual","2","2","1525","350","","370","2610","","17.9","","95","1","","Ferrari","Ferrari","Italy"
"12008","ferrari","360","Spider F1","2008","Convertible","Middle","3586","","","5","","","373","4750","","","11.0:1","Gasoline - Premium","288","4.6","Rear","Manual","2","2","1525","4480","1930","1240","2610","","17.9","","95","1","","Ferrari","Ferrari","Italy"
"11949","ferrari","599","GTB Fiorano","2008","Coupe","Front","5999","12","V","4","620","7600","608","5600","","","11.2:1","Gasoline - Premium","331","3.7","Rear","Manual","2","2","1770","4670","1970","1320","2760","","21.3","","105","1","","Ferrari","Ferrari","Italy"
"53234","ferrari","599","GTB Fiorano Automatic","2008","Coupe","Front","5999","12","V","4","620","7600","608","5600","","","11.2:1","Gasoline - Premium","331","3.7","Rear","Automatic","2","2","1770","4670","1970","1320","2760","","21.3","","105","1","","Ferrari","Ferrari","Italy"
"12247","ferrari","612","Scaglietti","2008","Coupe","Front","478","12","V","4","549","7250","587","5250","","","11.2:1","Gasoline","315","4.2","Rear","Manual","4","2","1925","350","","350","2960","","20.7","","105","1","","Ferrari","Ferrari","Italy"
"12296","ferrari","F430","","2008","Coupe","Middle","4308","8","V","","497","8500","466","5250","92.0","81.0","","Gasoline - Premium","315","4.0","Rear","Automatic","2","2","1765","370","","370","2610","","22.0","","95","1","","Ferrari","Ferrari","Italy"
"12137","ferrari","F430","Spider","2008","Convertible","Middle","4309","8","V","5","497","8500","465","5250","92.0","81.0","11.3:1","Gasoline - Premium","315","4.1","Rear","Manual","2","2","1525","4520","1930","1240","2610","","18.3","","110","1","","Ferrari","Ferrari","Italy"
"54917","ferrari","F430","Spider Automatic","2008","Convertible","Middle","4309","8","V","5","497","8500","465","5250","92.0","81.0","11.3:1","Gasoline - Premium","315","4.1","Rear","Automatic","2","2","1525","4520","1930","1240","2610","","18.3","","110","1","","Ferrari","Ferrari","Italy"
"12266","ferrari","456M","GT","2009","Coupe","Front","5474","12","V","4","442","6250","550","4500","88.1","75.0","11.0:1","Gasoline - Premium","","5.2","Rear","","4","2","1690","4770","1930","1310","2610","","22.0","","110","1","","Ferrari","Ferrari","Italy"
"11969","ferrari","599","GTB Fiorano","2009","Coupe","Front","5998","12","V","4","620","7600","608","5600","","","11.2:1","Gasoline - Premium","331","3.7","Rear","Manual","2","2","1765","4670","1970","1320","2760","","21.3","","105","1","","Ferrari","Ferrari","Italy"
"53235","ferrari","599","GTB Fiorano Automatic","2009","Coupe","Front","5998","12","V","4","620","7600","608","5600","","","11.2:1","Gasoline - Premium","331","3.7","Rear","Automatic","2","2","1765","4670","1970","1320","2760","","21.3","","105","1","","Ferrari","Ferrari","Italy"
"11869","ferrari","612","Scaglietti","2009","Coupe","Front","5748","12","V","3","540","7250","589","5250","89.0","77.0","11.2:1","Gasoline - Premium","320","4.2","Rear","Manual","4","2","1925","4910","1960","1350","2960","","20.7","","105","1","","Ferrari","Ferrari","Italy"
"52371","ferrari","California","","2009","Convertible","Front","4300","8","V","4","466","7750","483","5000","","","","Gasoline","","","Rear","Manual","4","2","1735","4562","1902","1308","2670","12.4","","18.1","78","1","","Ferrari","Ferrari","Italy"
"12142","ferrari","F430","","2009","Coupe","Middle","4306","8","V","4","490","8500","465","5250","92.0","81.0","11.3:1","Gasoline - Premium","316","4.0","Rear","Manual","2","2","1525","4520","1930","1220","2610","","18.3","","95","1","","Ferrari","Ferrari","Italy"
"54918","ferrari","F430","Automatic","2009","Coupe","Middle","4306","8","V","4","490","8500","465","5250","92.0","81.0","11.3:1","Gasoline - Premium","316","4.0","Rear","Automatic","2","2","1525","4520","1930","1220","2610","","18.3","","95","1","","Ferrari","Ferrari","Italy"
"12284","ferrari","F430","Scuderia","2009","Coupe","Middle","4308","8","V","4","510","8500","470","5250","92.0","81.0","11.8:1","Gasoline - Premium","320","3.6","Rear","Manual","2","2","1458","4520","1930","1220","2610","","17.1","","95","1","","Ferrari","Ferrari","Italy"
"12077","ferrari","F430","Spider","2009","Convertible","Middle","4308","8","V","5","490","8500","465","5250","92.0","81.0","11.3:1","Gasoline - Premium","311","4.1","Rear","Manual","2","2","1595","4520","1930","1240","2610","","18.5","","95","1","","Ferrari","Ferrari","Italy"
"54919","ferrari","F430","Spider Automatic","2009","Convertible","Middle","4308","8","V","5","490","8500","465","5250","92.0","81.0","11.3:1","Gasoline - Premium","311","4.1","Rear","Automatic","2","2","1595","4520","1930","1240","2610","","18.5","","95","1","","Ferrari","Ferrari","Italy"
"44826","ferrari","458 Italia","","2010","Coupe","Middle","4500","8","V","4","578","9000","539","6000","","","","Gasoline","","","Rear","Manual","2","2","1485","4526","1938","1214","2649","","","","86","1","","Ferrari","Ferrari","Italy"
"44828","ferrari","599","GTB Fiorano","2010","Coupe","Front","6000","12","V","4","619","9000","","9000","","","","Gasoline","","","Rear","Manual","2","2","1688","4666","1961","1336","2751","15.7","","21.4","105","1","","Ferrari","Ferrari","Italy"
"44830","ferrari","612 Scaglietti","","2010","Coupe","Front","5700","12","V","4","539","7250","588","5250","","","","Gasoline","","","Rear","Manual","4","2","1725","4902","1956","1344","2949","14.7","","26.1","110","1","","Ferrari","Ferrari","Italy"
"44831","ferrari","California","","2010","Convertible","Front","4300","8","V","4","466","7750","483","5000","","","","Gasoline","","","Rear","Manual","4","2","1735","4562","1902","1308","2670","12.4","","18.1","78","1","","Ferrari","Ferrari","Italy"
"44827","ferrari","458 Italia","","2011","Coupe","Middle","4500","8","V","4","578","9000","539","6000","","","","Gasoline","","","Rear","Manual","2","2","1485","4526","1938","1214","2649","","","","86","1","","Ferrari","Ferrari","Italy"
"44829","ferrari","599","GTB Fiorano","2011","Coupe","Front","6000","12","V","4","619","9000","","9000","","","","Gasoline","","","Rear","Manual","2","2","1688","4666","1961","1336","2751","15.7","","21.4","105","1","","Ferrari","Ferrari","Italy"
