model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"20827","lamborghini","Gallardo","","2008","Coupe","Middle","4961","10","V","4","519","8000","510","4250","","","11.0:1","Gasoline","310","3.8","4WD","Manual","2","2","1330","4310","1910","1170","2570","","17.0","","90","1","","Lamborghini","Lamborghini","Italy"
"20790","lamborghini","Gallardo","Spyder","2008","Convertible","Middle","4961","10","V","4","519","8000","510","4250","82.5","92.8","11.0:1","Gasoline","","","4WD","Manual","2","2","","4310","1910","1190","2570","","","","90","1","","Lamborghini","Lamborghini","Italy"
"55143","lamborghini","Gallardo","Spyder Automatic","2008","Convertible","Middle","4961","10","V","4","519","8000","510","4250","82.5","92.8","11.0:1","Gasoline","","","4WD","Automatic","2","2","","4310","1910","1190","2570","","","","90","1","","Lamborghini","Lamborghini","Italy"
"20846","lamborghini","Gallardo","Superleggera","2008","Coupe","Middle","4959","10","V","4","530","8000","510","4250","82.5","92.8","11.0:1","Gasoline - Premium","315","3.8","4WD","Manual","2","2","1330","4310","1910","1170","2570","","17.0","","90","1","","Lamborghini","Lamborghini","Italy"
"55144","lamborghini","Gallardo","Superleggera Automatic","2008","Coupe","Middle","4959","10","V","4","530","8000","510","4250","82.5","92.8","11.0:1","Gasoline - Premium","315","3.8","4WD","Automatic","2","2","1330","4310","1910","1170","2570","","17.0","","90","1","","Lamborghini","Lamborghini","Italy"
"20820","lamborghini","Murcielago","","2008","Coupe","Middle","6191","12","V","4","579","5400","650","5400","87.0","86.8","10.7:1","Gasoline","330","3.8","4WD","Manual","2","2","1650","4590","2050","1140","2670","","21.5","","100","1","","Lamborghini","Lamborghini","Italy"
"20803","lamborghini","Murcielago","LP640","2008","Coupe","Middle","6496","12","V","4","640","8000","660","6000","88.0","89.0","11.2:1","Gasoline - Premium","340","3.4","4WD","Manual","2","2","1735","4620","2060","1140","2670","","21.3","","100","1","","Lamborghini","Lamborghini","Italy"
"55903","lamborghini","Murcielago","LP640 Automatic","2008","Coupe","Middle","6496","12","V","4","640","8000","660","6000","88.0","89.0","11.2:1","Gasoline - Premium","340","3.4","4WD","Automatic","2","2","1735","4620","2060","1140","2670","","21.3","","100","1","","Lamborghini","Lamborghini","Italy"
"20747","lamborghini","Murcielago","LP640 Roadster","2008","Convertible","Middle","6496","12","V","4","640","8000","660","6000","88.1","89.9","11.0:1","Gasoline - Premium","","3.4","4WD","Manual","2","2","1690","4620","2060","1140","2670","","21.3","","100","1","","Lamborghini","Lamborghini","Italy"
"55904","lamborghini","Murcielago","LP640 Roadster Automatic","2008","Convertible","Middle","6496","12","V","4","640","8000","660","6000","88.1","89.9","11.0:1","Gasoline - Premium","","3.4","4WD","Automatic","2","2","1690","4620","2060","1140","2670","","21.3","","100","1","","Lamborghini","Lamborghini","Italy"
"20789","lamborghini","Gallardo","LP 560-4","2009","Coupe","Middle","5204","10","V","4","560","8000","540","6500","84.5","92.8","12.5:1","Gasoline - Premium","325","3.7","4WD","Manual","2","2","1506","4310","1910","1170","2570","","13.7","","90","1","","Lamborghini","Lamborghini","Italy"
"55145","lamborghini","Gallardo","LP 560-4 Automatic","2009","Coupe","Middle","5204","10","V","4","560","8000","540","6500","84.5","92.8","12.5:1","Gasoline - Premium","325","3.7","4WD","Automatic","2","2","1506","4310","1910","1170","2570","","13.7","","90","1","","Lamborghini","Lamborghini","Italy"
"20772","lamborghini","Gallardo","LP 560-4 Coupe","2009","Coupe","Middle","5203","10","V","4","568","8000","540","6500","84.5","92.8","12.5:1","Gasoline","325","3.7","4WD","Manual","2","2","1500","4350","1910","1170","2560","10.2","14.7","21.4","90","1","","Lamborghini","Lamborghini","Italy"
"20796","lamborghini","Gallardo","LP 560-4 Spyder","2009","Convertible","Middle","5204","10","V","4","569","8000","540","6500","","","12.5:1","Diesel","324","","4WD","Manual","2","2","1430","4350","1910","1190","2560","11.8","16.8","19.6","80","1","","Lamborghini","Lamborghini","Italy"
"20800","lamborghini","Gallardo","LP560","2009","Coupe","Middle","5203","10","V","4","570","8000","540","6500","","","12.5:1","Gasoline - Premium","325","4.0","4WD","Automatic","2","2","1500","4350","1910","1170","2570","","14.7","","90","1","","Lamborghini","Lamborghini","Italy"
"20805","lamborghini","Gallardo","Spyder","2009","Coupe","Middle","4961","10","V","4","520","8000","510","4250","82.5","92.8","11.0:1","Gasoline - Premium","314","4.3","4WD","Manual","2","2","1740","4310","1910","1190","2570","","17.2","","80","1","","Lamborghini","Lamborghini","Italy"
"55146","lamborghini","Gallardo","Spyder Automatic","2009","Coupe","Middle","4961","10","V","4","520","8000","510","4250","82.5","92.8","11.0:1","Gasoline - Premium","314","4.3","4WD","Automatic","2","2","1740","4310","1910","1190","2570","","17.2","","80","1","","Lamborghini","Lamborghini","Italy"
"20836","lamborghini","Murcielago","LP 640","2009","Coupe","Middle","6495","12","V","4","640","8000","660","6000","88.0","89.0","11.2:1","Gasoline - Premium","340","3.4","4WD","Manual","2","2","1735","4620","2060","1140","2670","","21.3","","100","1","","Lamborghini","Lamborghini","Italy"
"55905","lamborghini","Murcielago","LP 640 Automatic","2009","Coupe","Middle","6495","12","V","4","640","8000","660","6000","88.0","89.0","11.2:1","Gasoline - Premium","340","3.4","4WD","Automatic","2","2","1735","4620","2060","1140","2670","","21.3","","100","1","","Lamborghini","Lamborghini","Italy"
"20785","lamborghini","Murcielago","LP 640 Coupe","2009","Coupe","Middle","6496","12","V","4","640","8000","660","6000","","","11.2:1","Diesel","","","4WD","Manual","2","2","1430","4620","2060","1140","2670","18.1","23.5","29.4","100","1","","Lamborghini","Lamborghini","Italy"
"20860","lamborghini","Murcielago","LP 640 Roadster","2009","Convertible","Middle","6496","12","V","4","640","8000","660","6000","","","12.5:1","Diesel","330","3.7","4WD","Manual","2","2","1690","4620","2060","1140","2670","18.1","23.5","29.4","100","1","","Lamborghini","Lamborghini","Italy"
"45322","lamborghini","Gallardo","LP 550-2 Valentino Balboni","2010","Coupe","Middle","5200","10","V","4","558","8000","539","6500","","","","Gasoline","","","Rear","Manual","2","2","1380","4346","1900","1166","2560","11.8","","19.6","90","1","","Lamborghini","Lamborghini","Italy"
"45324","lamborghini","Murcielago","LP 670-4 SuperVeloce","2010","Coupe","Middle","6500","12","V","4","679","8000","660","6500","","","","Gasoline - Premium","","","AWD","Manual","2","2","1565","4704","2057","1135","2664","16.8","","26.1","100","1","","Lamborghini","Lamborghini","Italy"
"45323","lamborghini","Gallardo","LP 570-4 Superleggera","2011","Coupe","Middle","5200","10","V","4","570","8000","539","6500","","","","Gasoline - Premium","","","AWD","Manual","2","2","1340","4387","1900","1166","2560","11.8","","18.1","90","1","","Lamborghini","Lamborghini","Italy"
"49164","lamborghini","Aventador","LP 700-4","2012","Coupe","Middle","6500","12","V","4","710","8250","689","5500","","","","Gasoline - Premium","","","AWD","7-speed automated manual","2","2","1575","4780","2029","1135","2700","13.8","","21.4","90","1","","Lamborghini","Lamborghini","Italy"
"51127","lamborghini","Gallardo","LP 570-4 Superleggera","2012","Coupe","Middle","5200","10","V","4","570","8000","539","6500","","","","Gasoline - Premium","","","AWD","Manual","2","2","1340","4387","1900","1166","2560","11.8","","18.1","90","1","","Lamborghini","Lamborghini","Italy"
"58709","lamborghini","Aventador","LP 700-4","2013","Coupe","Middle","6500","12","V","4","710","8250","690","5500","95.0","76.0","","Gasoline","","","AWD","7-speed automatic ","2","2","1575","4780","2260","1135","2700","13.8","","21.4","90","1","","Lamborghini","Lamborghini","Italy"
"58710","lamborghini","Aventador","LP 700-4 ROADSTER","2013","Coupe","Middle","0","","V","","","8250","690","5500","","","","Gasoline","","","AWD","","","2","","","","","","","","","90","1","","Lamborghini","Lamborghini","Italy"
"58711","lamborghini","Gallardo","LP 550 - 2","2013","Coupe","Middle","0","","V","","","8000","540","6500","84.0","92.0","","Gasoline","","","","6-speed automatic ","","2","1380","4345","1900","1165","2560","11.8","","19.6","90","1","","Lamborghini","Lamborghini","Italy"
"58712","lamborghini","Gallardo","LP 550 -2 SPYDER","2013","Coupe","Middle","0","","V","","","8000","540","6500","84.5","92.8","","Gasoline","","","Rear","6-speed automatic","","2","1184","4345","","","2560","","","","","1","","Lamborghini","Lamborghini","Italy"
"58713","lamborghini","Gallardo","LP 560 -4","2013","Coupe","Middle","0","","V","","","8000","540","6500","84.0","92.0","","Diesel","","","AWD","6-speed automatic ","","2","1500","4345","1900","1165","2560","11.5","","18.7","90","1","","Lamborghini","Lamborghini","Italy"
"58714","lamborghini","Gallardo","LP 560-4 SPYDER","2013","Roadster","Middle","0","","V","","","8000","540","6500","84.0","92.0","","Diesel","","","AWD","6-speed automatic","","2","1550","4345","1900","1184","2560","12.2","","20.1","80","1","","Lamborghini","Lamborghini","Italy"
"58715","lamborghini","Gallardo","LP 570-4 SUPERLEGGERA EDIZIONE TECNICA","2013","Coupe","Middle","5200","10","V","4","570","8000","540","6500","84.5","92.8","","Gasoline","","","AWD","6-speed automatic","2","2","1340","4386","1900","1165","2560","11.8","","18.1","90","1","","Lamborghini","Lamborghini","Italy"
"58716","lamborghini","Gallardo","LP 570-4 SUPERLEGGERA PERFORMANCE EDIZIONE TECNICA","2013","Coupe","Middle","5200","10","V","4","570","8000","540","6500","84.5","92.8","","Gasoline","","","AWD","6-speed automatic","2","2","1485","4386","1900","1184","2560","11.8","","18.1","80","1","","Lamborghini","Lamborghini","Italy"
"63274","Lamborghini","Aventador","LP 700-4 2dr Coupe AWD (6.5L 12cyl 7AM)","2015","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"63275","Lamborghini","Aventador","LP 700-4 Roadster 2dr Convertible AWD (6.5L 12cyl 7AM)","2015","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"63276","Lamborghini","Aventador","LP 720-4 50 Anniversario 2dr Coupe AWD (6.5L 12cyl 7AM)","2015","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"63277","Lamborghini","Aventador","LP 720-4 Roadster 50 Anniversario 2dr Convertible AWD (6.5L 12cy","2015","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"63253","Lamborghini","Huracan","LP 610-4 2dr Coupe AWD (5.2L 10cyl 7AM)","2015","Two Seaters","Front","5200","10","V","4","610","","412","","","","12.7","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3135","","","","","20.0","16.0","14.0","24","1","","Lamborghini","Lamborghini","Italy"
"68502","Lamborghini","Aventador","LP 700-4 2dr Coupe AWD (6.5L 12cyl 7AM)","2016","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"68503","Lamborghini","Aventador","LP 700-4 Roadster 2dr Convertible AWD (6.5L 12cyl 7AM)","2016","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"68504","Lamborghini","Aventador","LP 720-4 50 Anniversario 2dr Coupe AWD (6.5L 12cyl 7AM)","2016","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"68505","Lamborghini","Aventador","LP 720-4 Roadster 50 Anniversario 2dr Convertible AWD (6.5L 12cy","2016","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"68481","Lamborghini","Huracan","LP 610-4 2dr Coupe AWD (5.2L 10cyl 7AM)","2016","Two Seaters","Front","5200","10","V","4","610","","412","","","","12.7","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3135","","","","","20.0","16.0","14.0","24","1","","Lamborghini","Lamborghini","Italy"
"71074","Lamborghini","Aventador","LP 700-4 2dr Coupe AWD (6.5L 12cyl 7AM)","2017","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"71075","Lamborghini","Aventador","LP 700-4 Roadster 2dr Convertible AWD (6.5L 12cyl 7AM)","2017","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"71076","Lamborghini","Aventador","LP 720-4 50 Anniversario 2dr Coupe AWD (6.5L 12cyl 7AM)","2017","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"71077","Lamborghini","Aventador","LP 720-4 Roadster 50 Anniversario 2dr Convertible AWD (6.5L 12cy","2017","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"71053","Lamborghini","Huracan","LP 610-4 2dr Coupe AWD (5.2L 10cyl 7AM)","2017","Two Seaters","Front","5200","10","V","4","610","","412","","","","12.7","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3135","","","","","20.0","16.0","14.0","24","1","","Lamborghini","Lamborghini","Italy"
"73646","Lamborghini","Aventador","LP 700-4 2dr Coupe AWD (6.5L 12cyl 7AM)","2018","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"73647","Lamborghini","Aventador","LP 700-4 Roadster 2dr Convertible AWD (6.5L 12cyl 7AM)","2018","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"73648","Lamborghini","Aventador","LP 720-4 50 Anniversario 2dr Coupe AWD (6.5L 12cyl 7AM)","2018","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"73649","Lamborghini","Aventador","LP 720-4 Roadster 50 Anniversario 2dr Convertible AWD (6.5L 12cy","2018","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"73625","Lamborghini","Huracan","LP 610-4 2dr Coupe AWD (5.2L 10cyl 7AM)","2018","Two Seaters","Front","5200","10","V","4","610","","412","","","","12.7","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3135","","","","","20.0","16.0","14.0","24","1","","Lamborghini","Lamborghini","Italy"
