model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"22362","maserati","Coupe","GranSport","2008","Coupe","Front","4242","8","V","4","400","7000","452","4500","92.0","79.8","11.1:1","Gasoline - Premium","290","4.9","Rear","Manual","4","2","1680","4530","1830","1300","2670","","18.6","","88","1","","Maserati","Maserati","Italy"
"22479","maserati","Coupe","GranTourismo","2008","Coupe","Front","4244","8","V","4","406","7000","460","5200","92.0","79.8","10.5:1","Gasoline - Premium","285","5.2","Rear","Automatic","4","2","1880","4890","1860","1360","2950","","14.3","","80","1","","Maserati","Maserati","Italy"
"22608","maserati","Coupe","GT","2008","Coupe","Front","4244","8","V","4","390","7000","451","4500","92.0","80.0","11.0:1","Gasoline - Premium","285","4.9","Rear","Manual","4","2","1570","4530","1830","1310","2670","","18.6","","88","1","","Maserati","Maserati","Italy"
"22408","maserati","MC12","Sport","2008","Coupe","Middle","5997","2","V","4","632","7500","652","5500","","","11.2:1","Gasoline - Premium","330","3.8","Rear","Manual","2","2","1335","5150","2100","1210","2810","","28.3","","88","1","","Maserati","Maserati","Italy"
"22516","maserati","Quattroporte","","2008","Sedan","Front","4244","8","V","4","400","7000","451","4500","92.0","79.8","11.1:1","Gasoline - Premium","275","5.2","Rear","Automatic","5","4","1932","5060","1900","1440","3070","","15.8","","90","1","","Maserati","Maserati","Italy"
"22344","maserati","Quattroporte","Automatic","2008","Sedan","Front","4244","8","V","4","400","7000","460","4250","92.1","79.8","11.1:1","Gasoline - Premium","","5.6","Rear","Automatic","5","4","1990","5060","1900","1440","3070","","14.7","","90","1","","Maserati","Maserati","Italy"
"22587","maserati","Spyder","Cambiocorsa","2008","Convertible","Front","4244","8","V","4","390","7000","451","4500","92.0","80.0","11.2:1","Gasoline - Premium","283","5.0","Rear","Manual","2","2","1722","4310","1830","1310","2450","","18.6","","88","1","","Maserati","Maserati","Italy"
"22402","maserati","Spyder","GranSport","2008","Convertible","Front","4242","8","V","4","400","7000","452","4500","92.0","79.8","11.1:1","Gasoline - Premium","285","4.9","Rear","Manual","2","2","1730","4310","1830","1310","2450","","17.5","","88","1","","Maserati","Maserati","Italy"
"22364","maserati","Spyder","GT","2008","Convertible","Front","4244","8","V","4","401","7000","451","4500","92.0","80.0","11.1:1","Gasoline","285","5.0","Rear","Manual","2","2","1720","4310","1830","1310","2450","","18.6","","88","1","","Maserati","Maserati","Italy"
"22589","maserati","V8 GranSport","","2008","Coupe","Front","4244","8","V","4","","","451","4500","92.1","79.8","11.1:1","Gasoline","","4.9","Rear","Automatic","4","2","1680","4530","1830","1300","2670","","28.3","","88","1","","Maserati","Maserati","Italy"
"22545","maserati","GranSport","V8","2009","Coupe","Front","4244","8","V","4","401","7000","451","4500","","","11.1:1","Gasoline","280","4.9","Rear","Automatic","4","2","1680","4530","1830","1300","2670","","28.3","","88","1","","Maserati","Maserati","Italy"
"22609","maserati","GranTurismo","S","2009","Coupe","Front","4691","8","V","4","324","7000","490","4750","","","11.0:1","Gasoline - Premium","295","4.9","Rear","Automatic","4","2","1955","4890","1920","1360","2950","8.4","14.7","18.1","86","1","","Maserati","Maserati","Italy"
"22582","maserati","Quattroporte","","2009","Sedan","Front","4244","8","V","4","400","7000","451","4500","92.0","79.8","11.1:1","Gasoline - Premium","270","5.6","Rear","Automatic","5","4","1956","5100","2000","1440","3070","15.7","14.7","10.7","90","1","","Maserati","Maserati","Italy"
"22501","maserati","Quattroporte","Executive GT Automatic","2009","Sedan","Front","4244","8","V","4","401","7000","451","4500","92.0","79.8","11.1:1","Gasoline","","","Rear","Manual","5","4","1955","5060","1900","1440","3070","","12.1","","90","1","","Maserati","Maserati","Italy"
"22409","maserati","Quattroporte","GT S","2009","Sedan","Front","4690","8","V","4","440","7000","490","4750","94.0","85.0","11.0:1","Gasoline - Premium","285","5.1","Rear","Automatic","5","4","1990","5100","1900","1430","3070","","15.7","","90","1","","Maserati","Maserati","Italy"
"22514","maserati","Quattroporte","S","2009","Sedan","Front","4691","8","V","4","431","7000","490","4750","","","11.0:1","Gasoline","280","5.7","Rear","Automatic","5","4","1880","5100","1900","1440","3070","","11.9","","90","1","","Maserati","Maserati","Italy"
"22380","maserati","Quattroporte","Sport GT Automatic","2009","Sedan","Front","4243","8","V","4","401","7000","451","4500","92.0","79.8","11.1:1","Gasoline","","","Rear","Manual","5","4","1880","5060","1900","1440","3070","","11.9","","90","1","","Maserati","Maserati","Italy"
