model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"23511","mazda","2","1.2i Comfort","2008","Hatchback","Front","1242","4","in-line","4","75","5200","110","4000","71.9","76.5","10.0:1","Gasoline - Premium","163","15.1","Front","Manual","5","5","1125","3930","1690","1550","2500","","6.3","","45","0","","Mazda","Mazda","Japan"
"22869","mazda","2","1.3 MZR","2008","Hatchback","Front","1349","4","in-line","4","86","6000","122","3500","","","10.0:1","Gasoline - Premium","","13.3","Front","Manual","5","5","955","3890","1700","1480","2500","","5.4","","43","0","","Mazda","Mazda","Japan"
"23072","mazda","2","1.4 CD Exclusive","2008","Hatchback","Front","1399","4","in-line","2","68","4000","160","2000","73.7","82.0","18.0:1","Diesel","160","15.0","Front","Manual","5","5","1329","3930","1690","1550","2500","","4.5","","45","0","","Mazda","Mazda","Japan"
"23385","mazda","2","1.5 MZR","2008","Hatchback","Front","1498","4","in-line","4","103","6000","137","4000","78.0","78.4","10.0:1","Gasoline - Premium","188","10.4","Front","Manual","5","5","966","3890","1700","1480","2500","","5.9","","43","0","","Mazda","Mazda","Japan"
"23131","mazda","2","1.6 Exclusive","2008","Hatchback","Front","1596","4","in-line","4","100","6000","146","4000","79.1","81.4","11.0:1","Gasoline - Premium","","11.4","Front","Manual","5","5","1155","3930","1690","1550","2500","","6.9","","45","0","","Mazda","Mazda","Japan"
"23187","mazda","3","","2008","Hatchback","Front","1999","4","in-line","4","150","6500","184","4500","87.5","83.1","","Gasoline","","","Front","Manual","5","5","1329","4500","1760","1760","2650","7.4","8.9","9.8","55","1","","Mazda","Mazda","Japan"
"23188","mazda","3","1.4 Sport Comfort","2008","Hatchback","Front","1349","4","in-line","4","84","5700","124","3500","","","11.0:1","Gasoline - Premium","164","14.3","Front","Manual","5","5","1155","4430","1760","1470","2650","","7.1","","55","1","","Mazda","Mazda","Japan"
"22865","mazda","3","1.6 Active","2008","Sedan","Front","1597","4","in-line","4","","","146","4000","78.0","83.6","10.0:1","Gasoline","183","11.3","Front","Manual","5","4","1180","4500","1760","1470","2650","","8.9","","55","1","","Mazda","Mazda","Japan"
"23366","mazda","3","1.6 CD Comfort","2008","Sedan","Front","1560","4","in-line","4","109","4000","240","1750","75.1","88.3","18.3:1","Diesel","","11.3","Front","Manual","5","4","1240","4500","1760","1470","2650","","5.0","","55","1","","Mazda","Mazda","Japan"
"23466","mazda","3","1.6 CD Sport Comfort","2008","Hatchback","Front","1560","4","in-line","4","109","4000","240","1750","75.0","88.3","18.3:1","Diesel","185","11.3","Front","Manual","5","5","1266","4430","1760","1470","2650","","5.0","","55","1","","Mazda","Mazda","Japan"
"22730","mazda","3","1.6 Dynamic","2008","Sedan","Front","1598","4","in-line","4","","","146","4000","78.0","83.6","10.0:1","Gasoline","183","11.3","Front","Manual","5","4","1191","4500","1760","1470","2650","","8.9","","55","1","","Mazda","Mazda","Japan"
