model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"41686","volkswagen","Bora","1.4","2008","Sedan","Front","1390","4","in-line","4","75","5000","127","3300","76.5","75.6","","Gasoline - Premium","171","14.9","Front","Manual","5","4","1165","4380","1740","1450","2520","","6.6","","55","0","","Volkswagen","Volkswagen","Germany"
"42312","volkswagen","Bora","1.6","2008","Sedan","Front","1595","4","in-line","2","105","5600","148","4500","81.0","77.4","10.5:1","Gasoline - Premium","185","12.8","Front","Automatic","5","4","1211","4380","1740","1450","2520","","8.2","","55","0","","Volkswagen","Volkswagen","Germany"
"42749","volkswagen","Bora","1.6 FSi","2008","Sedan","Front","1598","4","in-line","4","110","5800","155","4500","","","12.0:1","Gasoline - Premium","189","11.2","Front","Manual","5","4","1211","4380","1740","1450","2520","","6.2","","55","0","","Volkswagen","Volkswagen","Germany"
"42557","volkswagen","Bora","1.6 FSi Variant","2008","Station Wagon","Front","1598","4","in-line","4","110","5800","155","4500","","","12.0:1","Gasoline - Premium","189","11.7","Front","Manual","5","5","1276","4420","1740","1490","2520","","6.3","","55","0","","Volkswagen","Volkswagen","Germany"
"42240","volkswagen","Bora","1.6 Variant","2008","Station Wagon","Front","1598","4","in-line","4","106","5700","148","4500","76.5","86.9","11.5:1","Gasoline - Premium","192","11.5","Front","Manual","5","5","1227","4420","1740","1490","2520","","6.9","","55","0","","Volkswagen","Volkswagen","Germany"
"41952","volkswagen","Bora","1.8 T Highline","2008","Sedan","Front","1781","4","in-line","5","180","5500","235","1950","","","9.5:1","Gasoline - Premium","223","8.2","Front","Manual","5","4","1318","4380","1740","1450","2520","","8.4","","55","0","","Volkswagen","Volkswagen","Germany"
"42210","volkswagen","Bora","1.8 T Highline Variant","2008","Station Wagon","Front","1779","4","in-line","5","180","5500","235","1950","81.0","86.4","9.5:1","Gasoline - Premium","228","8.3","Front","Manual","5","5","1378","4420","1740","1490","2520","","8.5","","55","0","","Volkswagen","Volkswagen","Germany"
"41792","volkswagen","Bora","1.8 T Trendline","2008","Sedan","Front","1781","4","in-line","5","150","5700","210","1750","81.0","86.4","9.3:1","Gasoline - Premium","216","8.9","Front","Manual","5","4","1298","4380","1740","1450","2520","","7.9","","55","0","","Volkswagen","Volkswagen","Germany"
"54032","volkswagen","Bora","1.8 T Trendline Automatic","2008","Sedan","Front","1781","4","in-line","5","150","5700","210","1750","81.0","86.4","9.3:1","Gasoline - Premium","216","8.9","Front","Automatic","5","4","1298","4380","1740","1450","2520","","7.9","","55","0","","Volkswagen","Volkswagen","Germany"
"41718","volkswagen","Bora","1.8 T Trendline Variant","2008","Station Wagon","Front","1781","4","in-line","5","150","5700","210","1750","","","9.3:1","Gasoline - Premium","211","9.2","Front","Manual","5","5","1355","4420","1740","1490","2520","","8.0","","55","0","","Volkswagen","Volkswagen","Germany"
"54033","volkswagen","Bora","1.8 T Trendline Variant Automatic","2008","Station Wagon","Front","1781","4","in-line","5","150","5700","210","1750","","","9.3:1","Gasoline - Premium","211","9.2","Front","Automatic","5","5","1355","4420","1740","1490","2520","","8.0","","55","0","","Volkswagen","Volkswagen","Germany"
"42365","volkswagen","Bora","1.9 TDi","2008","Sedan","Front","1896","4","in-line","2","130","4000","310","1900","","","19.0:1","Diesel","200","10.1","Front","Manual","5","4","1280","4380","1740","1450","2520","","5.2","","55","0","","Volkswagen","Volkswagen","Germany"
"54034","volkswagen","Bora","1.9 TDi Automatic","2008","Sedan","Front","1896","4","in-line","2","130","4000","310","1900","","","19.0:1","Diesel","200","10.1","Front","Automatic","5","4","1280","4380","1740","1450","2520","","5.2","","55","0","","Volkswagen","Volkswagen","Germany"
"42894","volkswagen","Bora","1.9 TDi Highline","2008","Sedan","Front","1894","4","in-line","2","150","4000","320","1900","79.5","95.5","18.5:1","Diesel","216","9.0","Front","Manual","5","4","1330","4380","1740","1450","2520","","5.4","","55","0","","Volkswagen","Volkswagen","Germany"
"41507","volkswagen","Bora","1.9 TDi Highline Variant","2008","Station Wagon","Front","1896","4","in-line","2","150","4000","320","1900","","","18.5:1","Diesel","211","9.3","Front","Manual","5","5","1389","4420","1740","1490","2520","","5.4","","55","0","","Volkswagen","Volkswagen","Germany"
"42242","volkswagen","Bora","1.9 TDi Variant","2008","Station Wagon","Front","1896","4","in-line","2","130","4000","310","1900","","","19.0:1","Diesel","200","10.5","Front","Manual","5","5","1373","4420","1740","1490","2520","","5.5","","55","0","","Volkswagen","Volkswagen","Germany"
"54035","volkswagen","Bora","1.9 TDi Variant Automatic","2008","Station Wagon","Front","1896","4","in-line","2","130","4000","310","1900","","","19.0:1","Diesel","200","10.5","Front","Automatic","5","5","1373","4420","1740","1490","2520","","5.5","","55","0","","Volkswagen","Volkswagen","Germany"
"42705","volkswagen","Bora","2","2008","Sedan","Front","1984","4","in-line","2","115","5200","170","2400","82.5","92.8","10.5:1","Gasoline - Premium","195","11.0","Front","","5","4","1238","4380","1740","1450","2520","","8.2","","55","0","","Volkswagen","Volkswagen","Germany"
"42333","volkswagen","Bora","2.0 Variant","2008","Station Wagon","Front","1984","4","in-line","2","115","5200","170","2400","82.5","92.8","10.5:1","Gasoline - Premium","195","11.4","Front","","5","5","1296","4420","1740","1490","2520","","8.0","","55","0","","Volkswagen","Volkswagen","Germany"
"43008","volkswagen","Caddy","1.4 Life","2008","","Front","1390","4","in-line","4","75","5000","126","3300","76.5","75.6","10.5:1","Gasoline - Premium","148","17.9","Front","Manual","","5","1476","4410","1810","1840","2690","","8.4","","60","0","","Volkswagen","Volkswagen","Germany"
"42297","volkswagen","Caddy","1.6i","2008","","Front","1597","4","in-line","2","102","3800","148","3800","81.0","77.4","10.0:1","Gasoline","164","13.7","Front","Manual","5","4","1128","4220","1810","1840","2690","","8.1","","60","0","","Volkswagen","Volkswagen","Germany"
