model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"43741","volvo","C30","1.6","2008","Hatchback","Front","1595","4","in-line","4","100","6000","150","4000","79.0","81.4","11.0:1","Gasoline - Premium","185","11.8","Front","Manual","4","3","1279","4260","1790","1450","2650","","7.0","","55","1","","Volvo","Volvo","Sweden"
"43868","volvo","C30","1.6D","2008","Hatchback","Front","1560","4","in-line","4","109","4000","240","1750","75.0","88.3","18.3:1","Diesel","190","11.9","Front","Manual","4","3","1373","4260","1790","1450","2650","","5.1","","52","1","","Volvo","Volvo","Sweden"
"43258","volvo","C30","1.8","2008","Hatchback","Front","1798","4","in-line","4","125","6000","165","4000","","","10.8:1","Gasoline - Premium","195","10.8","Front","Manual","4","3","1406","4260","1790","1450","2650","","7.3","","55","1","","Volvo","Volvo","Sweden"
"43517","volvo","C30","1.8F FlexiFuel","2008","Hatchback","Front","1798","4","in-line","4","125","6000","165","4000","","","10.8:1","Gasoline - Premium","195","10.8","Front","Manual","4","3","1327","4260","1790","1450","2650","","7.3","","55","1","","Volvo","Volvo","Sweden"
"43889","volvo","C30","2","2008","Hatchback","Front","1997","4","in-line","4","145","6000","185","4500","87.5","83.1","10.8:1","Gasoline - Premium","210","9.4","Front","Manual","4","3","1327","4260","1790","1450","2650","","7.3","","55","1","","Volvo","Volvo","Sweden"
"43547","volvo","C30","2.0D","2008","Hatchback","Front","1996","4","in-line","4","136","4000","320","2000","85.0","88.0","18.5:1","Diesel","205","9.4","Front","Manual","4","3","1421","4260","1790","1450","2650","","5.7","","52","1","","Volvo","Volvo","Sweden"
"43605","volvo","C30","2.4i","2008","Hatchback","Front","2435","5","in-line","4","170","6000","230","4400","83.0","90.0","10.3:1","Gasoline - Premium","220","8.1","Front","Manual","4","3","1406","4260","1790","1450","2650","","8.6","","62","1","","Volvo","Volvo","Sweden"
"54097","volvo","C30","2.4i Automatic","2008","Hatchback","Front","2435","5","in-line","4","170","6000","230","4400","83.0","90.0","10.3:1","Gasoline - Premium","220","8.1","Front","Automatic","4","3","1406","4260","1790","1450","2650","","8.6","","62","1","","Volvo","Volvo","Sweden"
"44054","volvo","C30","2.5","2008","Hatchback","Front","2519","","","4","211","5000","320","1500","83.0","93.2","9.0:1","Gasoline","240","6.7","Front","Manual","4","3","1347","4260","1790","1450","2650","","8.7","","62","1","","Volvo","Volvo","Sweden"
"43328","volvo","C30","T5","2008","Hatchback","Front","2521","5","in-line","4","230","5000","320","1500","83.0","93.2","9.0:1","Gasoline - Premium","240","6.7","Front","Manual","4","3","1661","4260","1790","1450","2650","8.4","8.7","12.4","60","1","","Volvo","Volvo","Sweden"
"44026","volvo","C70","2.0 T","2008","Coupe","Front","1984","5","in-line","4","163","5100","230","1800","","","8.4:1","Gasoline - Premium","195","9.9","Front","Manual","4","2","1658","4720","1820","1440","2670","","9.6","","68","1","","Volvo","Volvo","Sweden"
"54188","volvo","C70","2.0 T Automatic","2008","Coupe","Front","1984","5","in-line","4","163","5100","230","1800","","","8.4:1","Gasoline - Premium","195","9.9","Front","Automatic","4","2","1658","4720","1820","1440","2670","","9.6","","68","1","","Volvo","Volvo","Sweden"
"43816","volvo","C70","2.3","2008","Coupe","Front","2319","5","in-line","4","","","330","2400","81.0","90.0","8.5:1","Gasoline","240","7.5","Front","Manual","4","2","1661","4250","1840","1550","2670","","10.1","","68","1","","Volvo","Volvo","Sweden"
"43643","volvo","C70","2.4","2008","Coupe","Front","2435","5","in-line","4","140","5000","221","4000","83.0","90.0","","Gasoline - Premium","205","11.0","Front","Manual","4","2","1692","4590","1830","1410","2650","","8.9","","62","1","","Volvo","Volvo","Sweden"
"54189","volvo","C70","2.4 Automatic","2008","Coupe","Front","2435","5","in-line","4","140","5000","221","4000","83.0","90.0","","Gasoline - Premium","205","11.0","Front","Automatic","4","2","1692","4590","1830","1410","2650","","8.9","","62","1","","Volvo","Volvo","Sweden"
"43966","volvo","C70","2.4 D5","2008","Coupe","Front","2400","5","in-line","4","180","4000","351","1750","81.0","93.2","","Diesel","225","9.5","Front","Automatic","4","2","","4720","1820","1440","2670","","7.3","","60","1","","Volvo","Volvo","Sweden"
"43612","volvo","C70","2.4 T","2008","Coupe","Front","2435","5","in-line","4","200","5700","270","1600","","","9.0:1","Gasoline - Premium","215","8.5","Front","Manual","4","2","1657","4720","1820","1440","2670","","9.6","","68","1","","Volvo","Volvo","Sweden"
"54190","volvo","C70","2.4 T Automatic","2008","Coupe","Front","2435","5","in-line","4","200","5700","270","1600","","","9.0:1","Gasoline - Premium","215","8.5","Front","Automatic","4","2","1657","4720","1820","1440","2670","","9.6","","68","1","","Volvo","Volvo","Sweden"
"43401","volvo","C70","2.4i","2008","Coupe","Front","2435","5","in-line","4","170","6000","230","4400","83.0","90.0","10.3:1","Gasoline - Premium","220","9.4","Front","Manual","4","2","1692","4590","190","1410","2650","","9.0","","62","1","","Volvo","Volvo","Sweden"
"54191","volvo","C70","2.4i Automatic","2008","Coupe","Front","2435","5","in-line","4","170","6000","230","4400","83.0","90.0","10.3:1","Gasoline - Premium","220","9.4","Front","Automatic","4","2","1692","4590","190","1410","2650","","9.0","","62","1","","Volvo","Volvo","Sweden"
"43614","volvo","C70","2.5","2008","Coupe","Front","2520","5","in-line","4","230","5000","320","1500","83.0","93.2","9.0:1","Gasoline","","","Front","Automatic","4","2","1598","4590","1840","1410","2650","","10.2","13.1","62","1","","Volvo","Volvo","Sweden"
"43380","volvo","S40","1.6","2008","Sedan","Front","1596","4","in-line","4","100","6000","150","4000","79.1","81.4","11.0:1","Gasoline - Premium","","11.9","Front","Manual","5","4","1310","4470","1780","1460","2650","","7.2","","55","1","","Volvo","Volvo","Sweden"
"43454","volvo","S40","1.8","2008","Sedan","Front","1798","4","in-line","4","125","6000","165","4000","83.0","83.1","11.0:1","Gasoline - Premium","200","11.2","Front","Manual","5","4","1651","4470","1780","1460","2650","","7.2","","55","1","","Volvo","Volvo","Sweden"
"43606","volvo","S40","1.8i","2008","Sedan","Front","1798","","","4","125","4000","191","4000","83.0","90.0","","Gasoline","205","9.7","Front","Manual","5","4","1355","4520","1720","1430","2570","","8.1","","60","1","","Volvo","Volvo","Sweden"
"43325","volvo","S40","2.0 Automatic","2008","Sedan","Front","1948","4","in-line","4","","","190","4000","","","10.5:1","Gasoline","195","10.7","Front","Automatic","5","4","1255","4250","","1450","2570","","8.1","","60","1","","Volvo","Volvo","Sweden"
"43208","volvo","S40","2.0 T","2008","Sedan","Front","1948","4","in-line","4","","","300","2500","83.1","90.0","8.5:1","Gasoline","","7.3","Front","Manual","5","4","1375","4250","","1450","2570","","8.9","","60","1","","Volvo","Volvo","Sweden"
"43435","volvo","S40","2.0 T Automatic","2008","Sedan","Front","1948","4","in-line","4","","","301","2500","83.0","90.0","","Gasoline","235","7.3","Front","Automatic","5","4","1375","4250","","1450","2570","","8.9","","60","1","","Volvo","Volvo","Sweden"
"43304","volvo","S40","2.4","2008","Sedan","Front","2399","5","in-line","4","170","6000","231","4400","81.0","90.0","8.5:1","Gasoline - Premium","220","8.2","Front","Manual","5","4","1433","4470","1780","1460","2650","","8.4","","62","1","","Volvo","Volvo","Sweden"
