January,1967,564.1,86.37,653.1,7.837
February,1967,509.1,89.19,570.8,6.85
March,1967,670.4,111.42,601.7,7.22
April,1967,710.2,104.4,680.3,8.164
May,1967,744.8,112.27,663.4,7.961
June,1967,780.2,114.37,682.2,8.186
July,1967,627.2,94.8,661.6,7.939
August,1967,517.2,85.08,607.9,7.295
September,1967,547.3,84.59,647,7.764
October,1967,664.8,113.12,587.7,7.052
November,1967,617.8,109.58,563.8,6.766
December,1967,614.7,94.82,648.3,7.78
January,1968,630.2,88.7,710.5,8.526
February,1968,623.7,93.15,669.6,8.035
March,1968,766.8,105.24,728.6,8.743
April,1968,728.8,107.27,679.4,8.153
May,1968,811,111.94,724.5,8.694
June,1968,781,111.4,701.1,8.413
July,1968,736.6,98.25,749.7,8.996
August,1968,634.5,84.66,749.5,8.994
September,1968,563.3,77.68,725.2,8.702
October,1968,884.8,118.49,746.7,8.96
November,1968,785.4,109.11,719.8,8.638
December,1968,678.7,94.24,720.2,8.642
January,1969,645.4,87.51,737.5,8.85
February,1969,662.1,89.58,739.1,8.869
March,1969,722.3,103.73,696.3,8.356
April,1969,753.8,106.42,708.3,8.5
May,1969,794.7,112.06,709.2,8.51
June,1969,798.1,112.82,707.4,8.489
July,1969,662.3,98.54,672.1,8.065
August,1969,555,78.81,704.2,8.45
September,1969,709.4,94.85,747.9,8.975
October,1969,816.7,113.4,720.2,8.642
November,1969,705.9,105.08,671.8,8.062
December,1969,638.6,98.2,650.3,7.804
January,1970,539.2,87.5,616.2,7.394
February,1970,598.1,90.35,662,7.944
March,1970,646,104.14,620.3,7.444
April,1970,691.3,107.15,645.2,7.742
May,1970,698.6,109.33,639,7.668
June,1970,800.2,119.22,671.2,8.054
July,1970,640.9,99.63,643.3,7.72
August,1970,526.1,83.13,632.9,7.595
September,1970,488.5,75.51,646.9,7.763
October,1970,629.5,126.3,498.4,5.981
November,1970,435.5,105.7,412,4.944
December,1970,425.5,98.5,432,5.184
January,1971,584.6,84.98,687.9,8.255
February,1971,635,91.75,692.1,8.305
March,1971,753.9,103.4,729.1,8.749
April,1971,734.8,106.29,691.3,8.296
May,1971,745.7,109.61,680.3,8.164
June,1971,795.3,113.31,701.9,8.423
July,1971,666.2,101.42,656.9,7.883
August,1971,564.8,81.95,689.2,8.27
September,1971,755.9,91.04,830.3,9.964
October,1971,932,115.49,807,9.684
November,1971,846.2,110.25,767.5,9.21
December,1971,647.4,88.89,728.3,8.74
January,1972,605,82.15,736.5,8.838
February,1972,692.7,91.59,756.3,9.076
March,1972,765.7,102.53,746.8,8.962
April,1972,768.3,101.21,759.1,9.109
May,1972,880.2,114.05,771.8,9.262
June,1972,869.3,115.64,751.7,9.02
July,1972,762.4,100.08,761.8,9.142
August,1972,650.3,83.73,776.7,9.32
September,1972,735.1,96.75,759.8,9.118
October,1972,925.5,116.65,793.4,9.521
November,1972,884.4,108.92,812,9.744
December,1972,713.7,86.33,826.7,9.92
January,1973,729,86.3,844.7,10.136
February,1973,767.4,90.21,850.7,10.208
March,1973,954.7,104.94,909.8,10.918
April,1973,854.4,97.99,871.9,10.463
May,1973,962.5,108.82,884.5,10.614
June,1973,900.7,111.09,810.8,9.73
July,1973,800.9,99.89,801.8,9.622
August,1973,679.2,87.01,780.6,9.367
September,1973,748.8,93.32,802.4,9.629
October,1973,850.5,123.3,689.8,8.278
November,1973,772.2,112.09,688.9,8.267
December,1973,568.3,87.07,652.7,7.832
January,1974,545.4,82.54,660.8,7.93
February,1974,561.5,88.52,634.3,7.612
March,1974,645.3,99.66,647.5,7.77
April,1974,693.5,106.77,649.5,7.794
May,1974,756.6,116.72,648.2,7.778
June,1974,686.8,107.46,639.1,7.669
July,1974,681.1,107.89,631.3,7.576
August,1974,660,89.03,741.3,8.896
September,1974,586.1,96.16,609.5,7.314
October,1974,621.8,117.39,529.7,6.356
November,1974,500.2,107.13,466.9,5.603
December,1974,423.5,84.08,503.7,6.044
January,1975,457.6,85.98,532.2,6.386
February,1975,530.9,88.96,596.8,7.162
March,1975,517,103.44,499.8,5.998
April,1975,508.9,106.84,476.3,5.716
May,1975,592,113.32,522.4,6.269
June,1975,608.4,114.77,530.1,6.361
July,1975,626.7,103.31,606.6,7.279
August,1975,525.3,88.85,591.2,7.094
September,1975,581.8,93.04,625.3,7.504
October,1975,764.6,120.41,635,7.62
November,1975,646.5,98.27,657.9,7.895
December,1975,591.2,87.29,677.3,8.128
January,1976,580.1,82.35,704.4,8.453
February,1976,640.9,88.17,726.9,8.723
March,1976,804.1,109.51,734.3,8.812
April,1976,776.8,108.07,718.8,8.626
May,1976,781.9,111.89,698.8,8.386
June,1976,816.9,116.28,702.5,8.43
July,1976,725.9,101.9,712.4,8.549
August,1976,606.8,91.14,665.8,7.99
September,1976,637,90.44,704.3,8.452
October,1976,722.7,112.48,642.5,7.71
November,1976,713.2,103.38,689.9,8.279
December,1976,685.7,86.64,791.4,9.497
January,1977,592.8,79.53,745.4,8.945
February,1977,654.7,87.06,752,9.024
March,1977,880.4,112.5,782.6,9.391
April,1977,809.8,108.58,745.8,8.95
May,1977,821.3,111.11,739.2,8.87
June,1977,906.6,118.54,764.8,9.178
July,1977,720,97.51,738.4,8.861
August,1977,715.2,95.49,749,8.988
September,1977,646.5,88.67,729.1,8.749
October,1977,859.1,114.78,748.5,8.982
November,1977,727.4,99.96,727.7,8.732
December,1977,637.4,85.13,748.7,8.984
January,1978,538.1,80.28,670.3,8.044
February,1978,619.6,87.03,711.9,8.543
March,1978,869.2,116.41,746.7,8.96
April,1978,848.8,104.45,812.6,9.751
May,1978,947.1,116.11,815.7,9.788
June,1978,931.3,114.72,811.8,9.742
July,1978,745.9,98.46,757.6,9.091
August,1978,740.1,92.79,797.6,9.571
September,1978,653.7,89.91,727.1,8.725
October,1978,874.1,111.82,781.7,9.38
November,1978,759.2,99.76,761,9.132
December,1978,636.8,82.71,769.9,9.239
January,1979,635.6,84.5,752.2,9.026
February,1979,666.3,87.13,764.7,9.176
March,1979,852.6,116.38,732.6,8.791
April,1979,752.8,107.88,697.8,8.374
May,1979,786.9,114.66,686.3,8.236
June,1979,690.8,113.69,607.6,7.291
July,1979,679.6,97.93,694,8.328
August,1979,697.5,97.48,715.5,8.586
September,1979,592.8,83.84,707.1,8.485
October,1979,721.3,118.23,610.1,7.321
November,1979,599.6,98.17,610.8,7.33
December,1979,554.3,85.09,651.4,7.817
January,1980,588,84.56,695.4,8.345
February,1980,591.5,90.28,655.2,7.862
March,1980,670.4,112.69,594.9,7.139
April,1980,541,109.6,493.6,5.923
May,1980,498.7,112.4,443.7,5.324
June,1980,511.1,106.61,479.4,5.753
July,1980,542.4,100.99,537.1,6.445
August,1980,486.8,90.82,536,6.432
September,1980,486.1,91.54,531,6.372
October,1980,664.2,120.2,552.6,6.631
November,1980,529.6,98.33,538.6,6.463
December,1980,471.6,90.02,523.9,6.287
January,1981,470,85.94,546.9,6.563
February,1981,543.8,88.22,616.4,7.397
March,1981,719.2,112.82,637.5,7.65
April,1981,533.8,111.63,478.2,5.738
May,1981,524.3,108.55,483,5.796
June,1981,517.9,107.54,481.6,5.779
