model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"72275","Acura","ILX","4dr Sedan (2.0L 4cyl 5A)","2018","Compact Cars","Front","2000","4","Inline","4","150","","140","","","","10.6","Premium Unleaded (Required)","","","Front Wheel Driv","Automatic","","4","2955","","","","","35.0","28.0","24.0","13","1","","Acura","Acura","USA"
"72276","Acura","ILX","Premium Package 4dr Sedan (2.0L 4cyl 5A)","2018","Compact Cars","Front","2000","4","Inline","4","150","","140","","","","10.6","Premium Unleaded (Required)","","","Front Wheel Driv","Automatic","","4","2959","","","","","35.0","28.0","24.0","13","1","","Acura","Acura","USA"
"72277","Acura","ILX","Premium Package 4dr Sedan (2.4L 4cyl 6M)","2018","Compact Cars","Front","2400","4","Inline","4","201","","170","","","","11","Premium Unleaded (Required)","","","Front Wheel Driv","Manual","","4","2978","","","","","31.0","25.0","22.0","13","1","","Acura","Acura","USA"
"72274","Acura","ILX","Technology Package 4dr Sedan (2.0L 4cyl 5A)","2018","Compact Cars","Front","2000","4","Inline","4","150","","140","","","","10.6","Premium Unleaded (Required)","","","Front Wheel Driv","Automatic","","4","2970","","","","","35.0","28.0","24.0","13","1","","Acura","Acura","USA"
"72045","Acura","MDX","4dr SUV (3.5L 6cyl 6A)","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","Front Wheel Driv","Automatic","","4","4025","","","","","28.0","23.0","20.0","20","1","","Acura","Acura","USA"
"72048","Acura","MDX","Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A)","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","Front Wheel Driv","Automatic","","4","4103","","","","","28.0","23.0","20.0","20","1","","Acura","Acura","USA"
"72049","Acura","MDX","SH-AWD 4dr SUV AWD (3.5L 6cyl 6A)","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","4255","","","","","27.0","21.0","18.0","20","1","","Acura","Acura","USA"
"72042","Acura","MDX","SH-AWD w/Advance and Entertainment Packages 4dr SUV AWD (3.5L 6c","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","4332","","","","","27.0","21.0","18.0","20","1","","Acura","Acura","USA"
"72044","Acura","MDX","SH-AWD w/Technology and Entertainment Packages 4dr SUV AWD (3.5L","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","4294","","","","","27.0","21.0","18.0","20","1","","Acura","Acura","USA"
"72050","Acura","MDX","SH-AWD w/Technology Package 4dr SUV AWD (3.5L 6cyl 6A)","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","4270","","","","","27.0","21.0","18.0","20","1","","Acura","Acura","USA"
"72047","Acura","MDX","Technology and Entertainment Packages 4dr SUV (3.5L 6cyl 6A)","2018","Sport Utility Vehicles","Front","3500","6","V","4","290","","267","","","","11.5","Premium Unleaded (Required)","","","Front Wheel Driv","Automatic","","4","4063","","","","","28.0","23.0","20.0","20","1","","Acura","Acura","USA"
