model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"5509","bmw","116","i","2008","","Front","1596","4","in-line","4","115","6000","150","4300","","","10.2:1","Gasoline","200","11.1","Rear","Manual","5","5","1280","4250","1760","1440","2670","","7.5","","50","1","","BMW","BMW","Germany"
"4565","bmw","116","i Exclusive","2008","","Front","1596","4","in-line","2","115","6000","151","4300","84.0","72.0","","Gasoline","200","11.6","Rear","Manual","5","5","1205","4870","","1420","2670","","10.5","","50","1","","BMW","BMW","Germany"
"5274","bmw","116","i Sport","2008","","Front","1596","4","in-line","2","115","6000","150","4300","84.1","72.0","10.2:1","Gasoline","","11.6","Rear","Manual","5","3","1205","5050","","1470","2670","","10.5","","50","1","","BMW","BMW","Germany"
"4848","bmw","118","d","2008","","Front","1995","4","in-line","4","143","4000","300","2000","","","16.0:1","Diesel","205","8.9","Rear","Manual","4","3","1385","4250","1750","1430","2670","","4.7","","51","1","","BMW","BMW","Germany"
"52915","bmw","118","d Automatic","2008","","Front","1995","4","in-line","4","143","4000","300","2000","","","16.0:1","Diesel","205","8.9","Rear","Automatic","4","3","1385","4250","1750","1430","2670","","4.7","","51","1","","BMW","BMW","Germany"
"4298","bmw","118","i","2008","","Front","1995","4","in-line","2","143","6000","190","4500","84.1","90.0","12.0:1","Gasoline - Premium","","8.7","Rear","Manual","5","4","1340","4870","1760","1470","2670","","7.4","","53","1","","BMW","BMW","Germany"
"5402","bmw","118","i Automatic","2008","","Front","1995","4","in-line","4","129","5750","180","3250","","","10.2:1","Gasoline - Premium","199","10.1","Rear","Automatic","5","5","1260","4230","1760","1440","2670","","7.8","","50","1","","BMW","BMW","Germany"
"4240","bmw","118","i Exclusive","2008","","Front","1995","4","in-line","2","129","5750","180","3250","","","10.2:1","Gasoline - Premium","","9.9","Rear","Manual","5","5","1230","4620","","1470","2670","","11.6","","50","1","","BMW","BMW","Germany"
"4546","bmw","118","i Exclusive Automatic","2008","","Front","1995","4","in-line","2","129","5750","181","3250","84.0","90.0","","Gasoline - Premium","204","12.1","Rear","Automatic","5","5","1230","4230","1440","1760","2670","","12.5","","50","1","","BMW","BMW","Germany"
"4938","bmw","120","d Automatic","2008","","Front","1995","4","in-line","4","163","4000","330","2000","84.0","90.0","","Diesel","215","8.5","Rear","Automatic","5","5","1356","4230","1760","1440","2670","","6.6","","50","1","","BMW","BMW","Germany"
