model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"15384","ford","Bantam","1.3i","2008","Pickup","Front","1297","4","in-line","2","","","110","3000","74.0","75.5","10.2:1","Gasoline","158","12.9","Front","Manual","2","2","960","4280","1470","1640","2670","","8.8","","54","0","","Ford","Ford","USA"
"14581","ford","Bantam","1.3i XLT","2008","Pickup","Front","1297","4","in-line","2","","","110","3000","","","10.2:1","Gasoline","153","12.9","Front","Manual","2","2","1020","4280","1470","1640","2670","","8.8","","54","0","","Ford","Ford","USA"
"15633","ford","Bantam","1.6i XL","2008","Pickup","Front","1597","4","in-line","2","95","5500","135","2500","","","9.5:1","Gasoline","171","11.2","Front","Manual","2","2","980","5770","","1730","2670","","9.4","","54","0","","Ford","Ford","USA"
"14198","ford","Bantam","1.6i XLE","2008","Pickup","Front","1597","4","in-line","2","95","5500","137","2500","82.0","75.5","9.5:1","Gasoline","176","11.5","Front","Manual","2","2","1000","5770","","1730","2670","","","","54","0","","Ford","Ford","USA"
"52380","ford","Crown Victoria","","2008","Sedan","Front","4601","8","V","2","228","4800","369","4000","90.2","89.9","9.4:1","Gasoline","","","Rear","Automatic","5","4","1840","5390","2000","1490","2920","","11.8","13.8","72","1","","Ford","Ford","USA"
"52378","ford","Crown Victoria","LX","2008","Sedan","Front","4605","8","V","2","227","4750","359","4000","90.2","90.0","8.5:1","Gasoline","","","Rear","Automatic","6","4","2856","5390","1970","1450","2920","9.4","11.8","13.8","72","1","","Ford","Ford","USA"
"52379","ford","Crown Victoria","LX Sport","2008","Sedan","Front","4604","8","V","2","242","4750","374","4000","90.2","90.0","9.4:1","Gasoline","","","Rear","Automatic","5","4","2856","5390","1970","1450","2920","9.4","11.8","13.8","72","1","","Ford","Ford","USA"
"14343","ford","E-150","","2008","Van","Front","4605","8","V","2","228","4800","388","3500","90.0","90.0","9.3:1","Gasoline","","","Front","Automatic","8","5","1110","5520","2020","2060","3510","12.4","14.7","15.7","132","1","","Ford","Ford","USA"
"15113","ford","E-150","Extended","2008","Van","Front","4606","8","V","2","228","4800","388","3500","","","9.3:1","Gasoline","","","Rear","Automatic","2","4","1077","6030","2020","2120","3510","12.4","14.7","15.7","132","1","","Ford","Ford","USA"
"14862","ford","E-250","","2008","Van","Front","4606","8","V","2","228","4800","388","3500","","","9.3:1","Gasoline","","","Rear","Automatic","2","4","1107","5520","2020","2120","3510","12.5","14.9","15.8","132","1","","Ford","Ford","USA"
