model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"16301","gmc","Acadia","SLE-1","2008","SUV","Front","3600","6","V","4","280","6600","340","3200","","","10.2:1","","","","Front","Automatic","8","5","2141","5110","2010","1860","3030","9.8","12.4","","83","1","","GMC","GMC","USA"
"16252","gmc","Acadia","SLE-1 AWD","2008","SUV","Front","3600","6","V","4","279","6600","340","3200","","","","","","","4WD","Automatic","8","5","2613","5100","1990","1780","3030","10.7","13.1","14.7","83","1","","GMC","GMC","USA"
"16372","gmc","Acadia","SLT-1","2008","SUV","Front","3600","6","V","4","279","6600","340","3200","","","10.2:1","","","","Front","Automatic","7","5","2141","5100","1990","1780","3030","9.8","12.4","14.7","83","1","","GMC","GMC","USA"
"16154","gmc","Acadia","SLT-1 AWD","2008","SUV","Front","3600","6","V","4","279","6600","340","3200","","","10.2:1","","","","4WD","Automatic","7","5","2435","5100","1990","1780","3030","10.7","13.1","14.7","83","1","","GMC","GMC","USA"
"16343","gmc","Acadia","SLT-2","2008","SUV","Front","3600","6","V","4","279","6600","340","3200","","","10.2:1","","","","Front","Automatic","7","5","2435","5100","1990","1780","3030","9.8","12.4","14.7","83","1","","GMC","GMC","USA"
"16255","gmc","Acadia","SLT-2 AWD","2008","SUV","Front","3600","6","V","4","279","6600","340","3200","","","10.2:1","","","","4WD","Automatic","7","5","2142","5100","1990","1780","3030","10.7","13.1","14.7","83","1","","GMC","GMC","USA"
"16197","gmc","Canyon","Crew Cab","2008","Pickup","Front","3700","5","in-line","4","245","5600","328","4600","","","","","","","4WD","Automatic","6","4","2436","5270","1750","1730","3210","10.7","12.4","14.7","72","1","","GMC","GMC","USA"
"16337","gmc","Canyon","Extended Cab","2008","Pickup","Front","2901","4","in-line","4","188","5600","259","2800","","","","","","","4WD","Manual","3","2","2141","5270","1750","1720","3210","9.8","11.8","13.1","72","1","","GMC","GMC","USA"
"16362","gmc","Canyon","Regular Cab","2008","Pickup","Front","2901","4","in-line","4","188","5600","259","2800","","","","","","","4WD","Manual","3","2","2141","4890","1720","1660","2830","","13.8","","72","1","","GMC","GMC","USA"
"16206","gmc","Envoy","","2008","SUV","Front","4163","6","in-line","2","289","6000","374","4000","93.1","101.9","10.3:1","Gasoline","","","Front","Automatic","5","4","2613","4870","1900","1830","2880","10.7","13.1","14.7","83","1","","GMC","GMC","USA"
