model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"72901","Honda","Accord","EX 2dr Coupe (2.4L 4cyl 6M)","2018","Compact Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Manual","","2","3229","","","","","34.0","27.0","24.0","17","1","","Honda","Honda","Japan"
"72900","Honda","Accord","EX 2dr Coupe (2.4L 4cyl CVT)","2018","Compact Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","3298","","","","","35.0","29.0","26.0","17","1","","Honda","Honda","Japan"
"72883","Honda","Accord","EX 4dr Sedan (2.4L 4cyl 6M)","2018","Midsize Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Manual","","4","3267","","","","","34.0","27.0","24.0","17","1","","Honda","Honda","Japan"
"72891","Honda","Accord","EX 4dr Sedan (2.4L 4cyl CVT)","2018","Midsize Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3336","","","","","36.0","31.0","27.0","17","1","","Honda","Honda","Japan"
"72899","Honda","Accord","EX-L 2dr Coupe (2.4L 4cyl CVT)","2018","Compact Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","3320","","","","","35.0","29.0","26.0","17","1","","Honda","Honda","Japan"
"72889","Honda","Accord","EX-L 4dr Sedan (2.4L 4cyl CVT)","2018","Midsize Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3358","","","","","36.0","31.0","27.0","17","1","","Honda","Honda","Japan"
"72895","Honda","Accord","EX-L V-6 2dr Coupe (3.5L 6cyl 6A)","2018","Compact Cars","Front","3500","6","V","4","278","","252","","","","10.5","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","3528","","","","","32.0","25.0","21.0","17","1","","Honda","Honda","Japan"
"72903","Honda","Accord","EX-L V-6 2dr Coupe (3.5L 6cyl 6M)","2018","Compact Cars","Front","3500","6","V","4","278","","251","","","","10","Regular Unleaded","","","Front Wheel Driv","Manual","","2","3397","","","","","28.0","22.0","18.0","17","1","","Honda","Honda","Japan"
"72881","Honda","Accord","EX-L V-6 4dr Sedan (3.5L 6cyl 6A)","2018","Midsize Cars","Front","3500","6","V","4","278","","252","","","","10.5","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3554","","","","","34.0","26.0","21.0","17","1","","Honda","Honda","Japan"
"72904","Honda","Accord","EX-L V6 w/Navigation 2dr Coupe (3.5L 6cyl 6A)","2018","Compact Cars","Front","3500","6","V","4","278","","252","","","","10.5","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","3536","","","","","32.0","25.0","21.0","17","1","","Honda","Honda","Japan"
"72896","Honda","Accord","EX-L V6 w/Navigation 2dr Coupe (3.5L 6cyl 6M)","2018","Compact Cars","Front","3500","6","V","4","278","","251","","","","10","Regular Unleaded","","","Front Wheel Driv","Manual","","2","3400","","","","","28.0","22.0","18.0","17","1","","Honda","Honda","Japan"
"72887","Honda","Accord","EX-L V6 w/Navigation 4dr Sedan (3.5L 6cyl 6A)","2018","Midsize Cars","Front","3500","6","V","4","278","","252","","","","10.5","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3559","","","","","34.0","26.0","21.0","17","1","","Honda","Honda","Japan"
"72897","Honda","Accord","EX-L w/Navigation 2dr Coupe (2.4L 4cyl CVT)","2018","Compact Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","3322","","","","","35.0","29.0","26.0","17","1","","Honda","Honda","Japan"
"72882","Honda","Accord","EX-L w/Navigation 4dr Sedan (2.4L 4cyl CVT)","2018","Midsize Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3365","","","","","36.0","31.0","27.0","17","1","","Honda","Honda","Japan"
"72884","Honda","Accord","LX 4dr Sedan (2.4L 4cyl 6M)","2018","Midsize Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Manual","","4","3192","","","","","34.0","27.0","24.0","17","1","","Honda","Honda","Japan"
"72890","Honda","Accord","LX 4dr Sedan (2.4L 4cyl CVT)","2018","Midsize Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3254","","","","","36.0","31.0","27.0","17","1","","Honda","Honda","Japan"
"72898","Honda","Accord","LX-S 2dr Coupe (2.4L 4cyl 6M)","2018","Compact Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Manual","","2","3186","","","","","34.0","27.0","24.0","17","1","","Honda","Honda","Japan"
"72902","Honda","Accord","LX-S 2dr Coupe (2.4L 4cyl CVT)","2018","Compact Cars","Front","2400","4","Inline","4","185","","181","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","3252","","","","","35.0","29.0","26.0","17","1","","Honda","Honda","Japan"
"72886","Honda","Accord","Sport 4dr Sedan (2.4L 4cyl 6M)","2018","Midsize Cars","Front","2400","4","Inline","4","189","","182","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Manual","","4","3276","","","","","34.0","27.0","24.0","17","1","","Honda","Honda","Japan"
"72885","Honda","Accord","Sport 4dr Sedan (2.4L 4cyl CVT)","2018","Midsize Cars","Front","2400","4","Inline","4","189","","182","","","","11.1","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3342","","","","","35.0","29.0","26.0","17","1","","Honda","Honda","Japan"
"72888","Honda","Accord","Touring V-6 4dr Sedan (3.5L 6cyl 6A)","2018","Midsize Cars","Front","3500","6","V","4","278","","252","","","","10.5","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3559","","","","","34.0","26.0","21.0","17","1","","Honda","Honda","Japan"
"72894","Honda","Accord Hybrid","4dr Sedan (2.0L 4cyl gas/electric hybrid CVT)","2018","Midsize Cars","Front","2000","4","Inline","4","196","","","","","","13","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3550","","","","","45.0","47.0","50.0","16","1","","Honda","Honda","Japan"
"72892","Honda","Accord Hybrid","EX-L 4dr Sedan (2.0L 4cyl gas/electric hybrid CVT)","2018","Midsize Cars","Front","2000","4","Inline","4","196","","","","","","13","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3595","","","","","45.0","47.0","50.0","16","1","","Honda","Honda","Japan"
"72893","Honda","Accord Hybrid","Touring 4dr Sedan (2.0L 4cyl gas/electric hybrid CVT)","2018","Midsize Cars","Front","2000","4","Inline","4","196","","","","","","13","Regular Unleaded","","","Front Wheel Driv","Automatic","","4","3602","","","","","45.0","47.0","50.0","16","1","","Honda","Honda","Japan"
"73424","Honda","Civic","EX 2dr Coupe (1.8L 4cyl 5M)","2018","Compact Cars","Front","1800","4","Inline","4","143","","129","","","","10.6","Regular Unleaded","","","Front Wheel Driv","Manual","","2","2805","","","","","36.0","31.0","28.0","13","1","","Honda","Honda","Japan"
"73419","Honda","Civic","EX 2dr Coupe (1.8L 4cyl CVT)","2018","Compact Cars","Front","1800","4","Inline","4","143","","129","","","","10.6","Regular Unleaded","","","Front Wheel Driv","Automatic","","2","2863","","","","","38.0","33.0","29.0","13","1","","Honda","Honda","Japan"
