model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"72182","Mercedes-Benz","C-Class","C250 2dr Coupe (1.8L 4cyl Turbo 7A)","2018","Compact Cars","Front","1800","4","Inline","4","201","","229","","","","9.3","Premium Unleaded (Required)","","","Rear Wheel Drive","Automatic","","2","","","","","","31.0","25.0","22.0","17","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"73383","Mercedes-Benz","C-Class","C300 4dr Sedan (2.0L 4cyl Turbo 7A)","2018","Compact Cars","Front","2000","4","Inline","4","241","","273","","","","Not Avai","Premium Unleaded (Required)","","","Rear Wheel Drive","Automatic","","4","","","","","","","","","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"73384","Mercedes-Benz","C-Class","C300 4MATIC 4dr Sedan AWD (2.0L 4cyl Turbo 7A)","2018","Compact Cars","Front","2000","4","Inline","4","241","","273","","","","Not Avai","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","","","","","","31.0","27.0","24.0","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"71361","Mercedes-Benz","C-Class","C300 Luxury 4dr Sedan (2.0L 4cyl Turbo 7A)","2018","Compact Cars","Front","2000","4","Inline","4","241","","273","","","","Not Avai","Premium Unleaded (Required)","","","Rear Wheel Drive","Automatic","","4","","","","","","","","","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"72673","Mercedes-Benz","C-Class","C300 Luxury 4MATIC 4dr Sedan AWD (2.0L 4cyl Turbo 7A)","2018","Compact Cars","Front","2000","4","Inline","4","241","","273","","","","Not Avai","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","","","","","","31.0","27.0","24.0","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"72679","Mercedes-Benz","C-Class","C300 Sport 4dr Sedan (2.0L 4cyl Turbo 7A)","2018","Compact Cars","Front","2000","4","Inline","4","241","","273","","","","Not Avai","Premium Unleaded (Required)","","","Rear Wheel Drive","Automatic","","4","","","","","","","","","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"72680","Mercedes-Benz","C-Class","C300 Sport 4MATIC 4dr Sedan AWD (2.0L 4cyl Turbo 7A)","2018","Compact Cars","Front","2000","4","Inline","4","241","","273","","","","Not Avai","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","","","","","","27.0","22.0","19.0","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"72184","Mercedes-Benz","C-Class","C350 2dr Coupe (3.5L 6cyl 7A)","2018","Compact Cars","Front","3500","6","V","4","302","","273","","","","12.2","Premium Unleaded (Required)","","","Rear Wheel Drive","Automatic","","2","","","","","","28.0","23.0","20.0","17","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"72185","Mercedes-Benz","C-Class","C350 4MATIC 2dr Coupe AWD (3.5L 6cyl 7A)","2018","Compact Cars","Front","3500","6","V","4","302","","273","","","","12.2","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","2","","","","","","27.0","22.0","19.0","17","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"72674","Mercedes-Benz","C-Class","C400 Sport 4MATIC 4dr Sedan AWD (3.0L 6cyl Turbo 7A)","2018","Compact Cars","Front","3000","6","V","4","329","","354","","","","Not Avai","Premium Unleaded (Required)","","","All Wheel Drive","Automatic","","4","","","","","","29.0","24.0","21.0","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
