model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"28567","nissan","350Z","Coupe","2008","Coupe","Front","3496","6","V","4","310","6800","363","4800","95.5","81.4","10.6:1","Gasoline - Premium","250","5.8","Rear","Manual","2","2","1540","4320","1820","1320","2660","9.4","11.7","13.1","76","1","","Nissan","Nissan","Japan"
"28998","nissan","350Z","Coupe Enthusiast","2008","Coupe","Front","3498","6","V","4","310","6800","363","4800","","","","","","","Rear","Manual","2","2","1540","4320","1820","1330","2660","9.4","11.8","13.1","76","1","","Nissan","Nissan","Japan"
"28662","nissan","350Z","Coupe Grand Touring","2008","Coupe","Front","3497","6","V","4","310","6800","363","4800","","","","","","","Front","Manual","2","2","1112","4320","1820","1330","2660","9.4","11.8","13.1","76","1","","Nissan","Nissan","Japan"
"28030","nissan","350Z","Coupe Touring","2008","Coupe","Front","3496","6","V","4","310","6800","363","4800","","","","","","","Front","Manual","2","2","1252","4320","1820","1330","2660","9.4","11.8","13.1","76","1","","Nissan","Nissan","Japan"
"27790","nissan","350Z","Roadster","2008","Convertible","Front","3498","6","V","4","313","6800","358","4800","95.6","81.4","10.6:1","Gasoline - Premium","","6.1","Rear","Manual","2","2","1716","4320","1820","1330","2660","9.8","11.7","13.8","80","1","","Nissan","Nissan","Japan"
"28017","nissan","350Z","Roadster Enthusiast","2008","Convertible","Front","3498","6","V","4","310","6800","364","5200","","","","","","6.4","Rear","Manual","2","2","1710","4320","1820","1340","2660","9.8","11.8","13.8","76","1","","Nissan","Nissan","Japan"
"27814","nissan","350Z","Roadster Grand Touring","2008","Convertible","Front","3498","6","V","4","310","6800","364","5200","","","","","","","Rear","Manual","2","2","1540","4320","1820","1340","2660","9.8","11.8","13.8","76","1","","Nissan","Nissan","Japan"
"28249","nissan","350Z","Roadster Touring","2008","Convertible","Front","3498","6","V","4","310","6800","363","5200","","","","","","6.4","Rear","Manual","2","2","1710","4320","1820","1340","2660","9.8","11.8","13.8","76","1","","Nissan","Nissan","Japan"
"28321","nissan","Almera","1.6 Comfort","2008","Sedan","Front","1597","","","4","","","138","","","","9.5:1","Gasoline","","","Front","Manual","5","4","2405","4850","","1440","2540","","17.0","","60","0","","Nissan","Nissan","Japan"
"28912","nissan","Almera","1.6 Elegance","2008","Sedan","Front","1597","","","4","","","138","","","","","Gasoline","","","Front","Manual","5","4","1530","5700","","1440","2540","","10.7","","60","0","","Nissan","Nissan","Japan"
