model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"73646","Lamborghini","Aventador","LP 700-4 2dr Coupe AWD (6.5L 12cyl 7AM)","2018","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"73647","Lamborghini","Aventador","LP 700-4 Roadster 2dr Convertible AWD (6.5L 12cyl 7AM)","2018","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"73648","Lamborghini","Aventador","LP 720-4 50 Anniversario 2dr Coupe AWD (6.5L 12cyl 7AM)","2018","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"73649","Lamborghini","Aventador","LP 720-4 Roadster 50 Anniversario 2dr Convertible AWD (6.5L 12cy","2018","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"73625","Lamborghini","Huracan","LP 610-4 2dr Coupe AWD (5.2L 10cyl 7AM)","2018","Two Seaters","Front","5200","10","V","4","610","","412","","","","12.7","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3135","","","","","20.0","16.0","14.0","24","1","","Lamborghini","Lamborghini","Italy"
"71074","Lamborghini","Aventador","LP 700-4 2dr Coupe AWD (6.5L 12cyl 7AM)","2017","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"71075","Lamborghini","Aventador","LP 700-4 Roadster 2dr Convertible AWD (6.5L 12cyl 7AM)","2017","Two Seaters","Front","6500","12","V","4","700","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"71076","Lamborghini","Aventador","LP 720-4 50 Anniversario 2dr Coupe AWD (6.5L 12cyl 7AM)","2017","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3472","","","","","18.0","13.0","11.0","24","1","","Lamborghini","Lamborghini","Italy"
"71077","Lamborghini","Aventador","LP 720-4 Roadster 50 Anniversario 2dr Convertible AWD (6.5L 12cy","2017","Two Seaters","Front","6500","12","V","4","720","","507","","","","11.8","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3583","","","","","16.0","12.0","10.0","24","1","","Lamborghini","Lamborghini","Italy"
"71053","Lamborghini","Huracan","LP 610-4 2dr Coupe AWD (5.2L 10cyl 7AM)","2017","Two Seaters","Front","5200","10","V","4","610","","412","","","","12.7","Premium Unleaded (Required)","","","All Wheel Drive","Automated Manual","","2","3135","","","","","20.0","16.0","14.0","24","1","","Lamborghini","Lamborghini","Italy"
